fips_code,year,ru_code,ruc_label
01001,2014_18,2,Metro - medium population
01001,2000,2,Metro - medium population
01001,1990,2,Metro - medium population
01001,1980,2,Metro - medium population
01001,1970,3,Metro - smallest population
01003,2014_18,3,Metro - smallest population
01003,2000,4,Nonmetro - urban larger pop. adjacent to metro area
01003,1990,2,Metro - medium population
01003,1980,2,Metro - medium population
01003,1970,2,Metro - medium population
01005,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01005,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01005,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01005,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01005,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01007,2014_18,1,Metro - largest population
01007,2000,1,Metro - largest population
01007,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01007,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01007,1970,8,Nonmetro - rural adjacent to metro area
01009,2014_18,1,Metro - largest population
01009,2000,1,Metro - largest population
01009,1990,2,Metro - medium population
01009,1980,2,Metro - medium population
01009,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01011,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01011,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01011,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01011,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01011,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01013,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01013,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01013,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
01013,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
01013,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
01015,2014_18,3,Metro - smallest population
01015,2000,3,Metro - smallest population
01015,1990,3,Metro - smallest population
01015,1980,3,Metro - smallest population
01015,1970,3,Metro - smallest population
01017,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01017,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01017,1990,5,Nonmetro - urban larger pop. not adjacent to metro area
01017,1980,5,Nonmetro - urban larger pop. not adjacent to metro area
01017,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
01019,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01019,2000,8,Nonmetro - rural adjacent to metro area
01019,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01019,1980,8,Nonmetro - rural adjacent to metro area
01019,1970,8,Nonmetro - rural adjacent to metro area
01021,2014_18,1,Metro - largest population
01021,2000,1,Metro - largest population
01021,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01021,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01021,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01023,2014_18,9,Nonmetro - rural not adjacent to metro area
01023,2000,9,Nonmetro - rural not adjacent to metro area
01023,1990,9,Nonmetro - rural not adjacent to metro area
01023,1980,9,Nonmetro - rural not adjacent to metro area
01023,1970,9,Nonmetro - rural not adjacent to metro area
01025,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
01025,2000,7,Nonmetro - urban smaller pop. not adjacent to metro area
01025,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
01025,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
01025,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01027,2014_18,9,Nonmetro - rural not adjacent to metro area
01027,2000,9,Nonmetro - rural not adjacent to metro area
01027,1990,9,Nonmetro - rural not adjacent to metro area
01027,1980,9,Nonmetro - rural not adjacent to metro area
01027,1970,9,Nonmetro - rural not adjacent to metro area
01029,2014_18,8,Nonmetro - rural adjacent to metro area
01029,2000,8,Nonmetro - rural adjacent to metro area
01029,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01029,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
